"","hhid","pnum","pumsSerialNo","persType","persTypeDetailed","age","gender","industry","schlGrade","educLevel","workPlaceType","workPlaceTaz","workPlaceMaz","schoolType","schoolTaz","schoolMaz","usualCarId","dailyActivityPattern","specEvtParticipant","jointTour1Role","jointTour2role","obPeChauffBund1","obPeChauffBund2","obPeChauffBund3","obRsChauffBund","obPePassBund","obRsPassBund","ibPeChauffBund1","ibPeChauffBund2","ibPeChauffBund3","ibRsChauffBund","ibPePassBund","ibRsPassBund","studentDorm","studentRent","activityString"
"2086842",944944,2,2010001309696,8,21,4,1,0,1,1,0,0,0,1,2783,22782,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2086843",944944,3,2010001309696,8,21,1,2,0,0,0,0,0,0,2,2820,22819,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2091251",946934,1,2010000392192,1,1,51,2,51,0,12,2,2838,22837,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-0-73-61-8-0-9-0]"
"2091252",946934,2,2010000392192,1,1,53,1,44,0,9,2,2696,22695,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-61-0]"
"2093684",948200,1,2008000757760,1,1,52,1,62,0,11,2,1523,21522,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-0]"
"2093685",948200,2,2008000757760,5,15,65,2,0,0,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-5-61-61-0]"
"2099930",951203,1,2011000864768,5,15,68,1,0,0,9,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-5-5-5-62-0]"
"2115192",958055,1,2011000209408,1,1,42,1,51,0,15,2,1419,21418,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-15-0-15-0]"
"2115193",958055,2,2011000209408,1,1,44,2,52,0,13,2,1513,21512,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-9-0-42-62-0]"
"2115194",958055,3,2011000209408,6,17,18,1,0,5,7,0,0,0,1,2433,22432,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
"2115195",958055,4,2011000209408,7,19,11,1,0,4,2,0,0,0,1,2439,22438,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-8-9-0]"
"2115196",958055,5,2011000209408,7,19,11,1,0,4,2,0,0,0,1,2439,22438,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
"2117660",959089,1,2008001019904,2,4,65,2,62,0,11,1,2442,22441,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-72-0-7-0-5-8-0]"
"2117661",959089,2,2008001019904,1,1,72,1,48,0,12,2,2694,22693,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-5-1-0-7-0]"
