"","uniqueid","jointTripNum","hhid","pnum","userClass","tourNum","tourSubTourNum","personTripNum","tourTripNum","mainTourTripNum","subTourTripNum","jointTourNum","jointTripRole","direction","obBundleNum","ibBundleNum","escortingRole","jointSpecEvtTour","party","origTaz","origMaz","destTaz","destMaz","origPurp","destPurp","mode","prelimDepartInterval","finalDepartMinute","tripDistance","prelimArriveInterval","finalArriveMinute","activityMinutesAtDest","pnrParkTaz","pnrParkMaz","vot","travelTime","hb","tripPurpose"
"7535391",4,0,814148,1,3,2,0,4,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",701,20700,2279,22278,61,0,1,65,959.5161,10.52,66,983.54614,442.01996,0,0,3.74246850170391,24.03004,1,"HBNW"
"1838865",15,0,225127,2,2,2,0,6,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",86,20085,624,20623,1,0,1,53,781.46094,17.41,55,801.21094,17.76001,0,0,9.47748281265627,19.75,1,"HBW"
"3362164",3,0,384626,2,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",2191,22190,1989,21988,0,42,4,32,471.35895,3.32,32,479.19894,14.73999,0,0,11.760705059697,7.83999,1,"HBNW"
"8713759",2,0,958873,1,3,1,1,2,1,0,1,0,0,1,0,0,0,0,"[ 1 ]",210,20209,425,20424,1,72,1,37,535.6797,1.08,37,538.2897,65.21002,0,0,2.75257873301373,2.61000000000001,0,"NHB"
"1500006",4,0,186675,2,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",572,20571,1821,21820,0,1,1,23,324.54865,16.6,25,349.07864,537.95996,0,0,9.35929061258103,24.52999,1,"HBW"
"8829430",28,5,972762,6,3,2,0,5,3,3,0,2,1,2,0,0,0,0,"[ 6,4 ]",2802,22801,2524,22523,5,5,2,43,630.70966,1.55,43,634.40967,4.3999634,0,0,10.9447929417443,3.70001000000002,0,"NHB"
"9175998",1,0,1013903,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2632,22631,2781,22780,0,2,14,29,431.75732,1.82,29,468.15732,38.600006,0,0,1.02943477474842,36.4,1,"HBNW"
"6001550",18,0,651946,2,3,1,1,6,5,0,5,0,0,2,0,0,0,0,"[ 2 ]",1716,21715,1716,21715,61,1,14,46,690.07825,0.62,46,702.4783,76.349976,0,0,75.2482950365447,12.40005,0,"NHB"
"9469105",4,0,1045693,1,1,2,0,4,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2868,22867,2818,22817,0,15,1,43,635.89044,3.14,43,642.72046,540.66,0,0,3.75441666107685,6.83001999999999,1,"HBW"
"9612953",5,0,1064599,2,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",2901,22900,2817,22816,0,1,1,15,207.36816,11.19,16,222.21817,427.64,0,0,5.30660670907926,14.85001,1,"HBW"
"3392063",9,0,387208,4,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",2018,22017,2200,22199,42,0,2,13,186.81946,11.08,14,200.81946,55.179993,0,0,39.2140561052182,14,1,"HBNW"
"3150415",6,0,364710,2,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",2128,22127,2176,22175,0,1,1,4,44.282345,10.57,5,58.792343,661.48,0,0,17.7116876901521,14.509998,1,"HBW"
"9118843",1,0,1007252,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2568,22567,2527,22526,0,42,2,12,160.30885,5.72,12,170.14885,12.700012,0,0,8.81669710524062,9.84,1,"HBNW"
"7239953",4,0,783492,1,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",2011,22010,2023,22022,62,0,1,44,649.52203,2.74,44,655.90204,774.11,0,0,9.39885329275223,6.38001000000008,1,"HBNW"
"5703219",14,1,620857,2,3,2,0,8,1,1,0,1,1,1,0,0,0,0,"[ 2,1,4,3,6,5 ]",1600,21599,1650,21649,0,5,3,75,1105.9395,3.91,75,1114.7594,4,0,0,7.28637413965837,8.81989999999996,1,"HBNW"
"10377773",2,0,1149393,2,2,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 2 ]",3107,23106,3107,23106,62,61,1,17,250.37447,0.44,17,251.50447,4.75,0,0,13.9797259140571,1.13,0,"NHB"
"5817827",8,0,633116,2,2,1,0,5,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",502,20501,1642,21641,9,0,1,47,696.4535,2.72,47,703.1235,217.12006,0,0,10.5458931575085,6.67000000000007,1,"HBNW"
"9027180",3,0,995835,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",1539,21538,2842,22841,72,0,4,37,552.7422,6.76,38,566.84216,4.4400635,0,0,5.8433083593251,14.09996,1,"HBNW"
"7573400",2,2,819610,1,3,1,0,2,2,2,0,0,0,1,1,0,1,0,"[ 1,5 ]",2373,22372,2373,22372,411,411,3,17,243.328,0.33,17,244.218,1.7700043,0,0,2.01137509037568,0.889999999999986,0,"NHB"
"5260057",4,0,579155,1,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",482,20481,569,20568,62,8,1,58,863.53204,10.32,59,883.192,5.9800415,0,0,18.2447502544003,19.65996,0,"NHB"
"6021800",8,1,654005,1,3,3,0,8,1,1,0,1,2,1,0,0,0,0,"[ 2,1 ]",1739,21738,1620,21619,0,5,4,62,909.53076,4.63,62,918.10077,5.6900024,0,0,3.08113089180653,8.57001000000002,1,"HBNW"
"4102823",6,0,459335,3,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",1161,21160,1123,21122,0,61,1,14,200.5852,9.57,15,220.9552,3.7700043,0,0,13.7088777367361,20.37,1,"HBNW"
"4362918",5,0,487259,1,2,2,0,5,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",1134,21133,994,20993,5,0,1,56,841.8447,16.34,59,863.6547,54.600037,0,0,5.36557376369569,21.8100000000001,1,"HBNW"
"8963791",1,1,988583,1,3,1,0,1,1,1,0,1,2,1,0,0,0,0,"[ 2,3,4,6,1 ]",2763,22762,2756,22755,0,6,4,57,835.79767,3.6,57,842.54767,5.450012,0,0,3.08389161155713,6.75,1,"HBNW"
"5716827",1,0,622322,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",1620,21619,1620,21619,0,42,4,29,414.54135,0.37,29,415.66135,492.41998,0,0,4.62249162141873,1.12,1,"HBNW"
"516191",5,0,77313,1,3,2,1,5,1,0,1,0,0,1,0,0,0,0,"[ 1 ]",581,20580,582,20581,1,72,14,39,570.2539,0.98,39,589.8539,33.419983,0,0,15.5639174453741,19.5999999999999,0,"NHB"
"7784359",2,0,846417,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",2509,22508,2499,22498,73,0,6,60,888.8755,4.47,60,919.3655,513.46,0,0,4.55844394309641,30.49,1,"HBNW"
"715526",7,0,102585,2,3,1,1,2,1,0,1,0,0,1,0,0,0,0,"[ 2 ]",184,20183,184,20183,1,72,14,51,756.99677,0.63,51,769.59674,56.119995,0,0,4.95676329991206,12.59997,0,"NHB"
"4111093",15,0,460141,2,3,3,0,5,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",1186,21185,1186,21185,0,411,1,50,741.6285,1.75,50,745.5685,4.5599976,0,0,0.876337852859579,3.93999999999994,1,"HBNW"
"1250013",4,1,158624,1,3,2,0,4,1,1,0,1,1,1,0,0,0,0,"[ 1,4,2,3 ]",127,20126,172,20171,0,5,3,61,896.06024,2.82,61,903.94025,2.7600098,0,0,1.07405388508545,7.88000999999997,1,"HBNW"
"2964504",20,0,347144,4,3,3,0,7,3,3,0,0,0,2,0,0,0,0,"[ 4 ]",453,20452,453,20452,61,61,3,59,882.0807,0.27,59,883.2107,4.409973,0,0,8.61506748761815,1.13,0,"NHB"
"480323",1,0,72947,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",187,20186,195,20194,0,9,1,29,418.43478,1.56,29,421.6048,76.68997,0,0,26.4032357153622,3.17002000000002,1,"HBNW"
"4500733",13,2,500233,3,3,1,0,2,2,2,0,1,2,2,0,0,0,0,"[ 2,3 ]",1074,21073,1046,21045,9,0,4,28,425.9768,5.25,29,435.7568,88.23001,0,0,36.297141948724,9.77999999999997,1,"HBNW"
"2808286",8,0,331846,2,3,1,1,2,1,0,1,0,0,1,0,0,0,0,"[ 2 ]",701,20700,702,20701,1,72,14,49,725.6913,0.6,49,737.6913,101.77997,0,0,23.4821453833391,12,0,"NHB"
"6537968",24,0,706119,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",1830,21829,1805,21804,0,3,17,24,350.9268,3.39,24,356.16678,324.76,0,0,21.6250042129184,5.23998,1,"HBNW"
"10390289",1,0,1150845,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",3173,23172,2642,22641,0,5,1,42,609.7215,15.44,44,626.9915,52.00995,0,0,1.15033216593902,17.27,1,"HBNW"
